System Timestamp,GPS Timestamp,Latitude,Longitude,Heading Angle,filename
01:31.1,22/09/2024 11:01,58.385915,26.7251731,323.87418,0053
01:32.1,22/09/2024 11:01,58.3859138,26.7251724,193.66672,0077
01:33.1,22/09/2024 11:01,58.3859148,26.7251721,2.24634,0101
01:34.1,22/09/2024 11:01,58.385921,26.7251858,53.51357,0125
01:35.1,22/09/2024 11:01,58.3859347,26.7252096,39.82459,0149
01:36.1,22/09/2024 11:01,58.3859559,26.7252412,37.69585,0173
01:37.1,22/09/2024 11:01,58.3859819,26.7252844,41.71012,0197
01:38.1,22/09/2024 11:01,58.3860136,26.7253373,40.6767,0221
01:39.1,22/09/2024 11:01,58.3860505,26.725396,39.39338,0245
01:40.1,22/09/2024 11:01,58.386091,26.7254563,37.32932,0269
01:41.1,22/09/2024 11:01,58.386134,26.7255157,35.23155,0293
01:42.1,22/09/2024 11:01,58.3861773,26.7255735,34.90322,0317
01:43.1,22/09/2024 11:01,58.3862179,26.7256287,35.68123,0341
01:44.1,22/09/2024 11:01,58.3862562,26.7256783,33.53389,0365
01:45.1,22/09/2024 11:01,58.3862898,26.7257238,36.28277,0389
01:46.1,22/09/2024 11:01,58.3863134,26.7257719,52.49374,0413
01:47.1,22/09/2024 11:01,58.3863214,26.7258259,84.35738,0437
01:48.1,22/09/2024 11:01,58.3863117,26.7258803,118.2388,0461
01:49.1,22/09/2024 11:01,58.3862899,26.7259283,135.58042,0485
01:50.1,22/09/2024 11:01,58.386264,26.725976,135.92282,0509
01:51.1,22/09/2024 11:01,58.3862382,26.7260283,131.9603,0533
01:52.1,22/09/2024 11:01,58.3862174,26.7260847,122.0994,0557
01:53.1,22/09/2024 11:01,58.3862043,26.7261511,106.08632,0581
01:54.1,22/09/2024 11:01,58.3861969,26.7262221,99.51402,0605
01:55.1,22/09/2024 11:01,58.3861917,26.7262872,98.4753,0629
01:56.1,22/09/2024 11:01,58.386186,26.7263421,102.91176,0653
01:57.1,22/09/2024 11:01,58.3861829,26.7263813,96.45784,0677
01:58.1,22/09/2024 11:01,58.3861867,26.726422,74.24919,0701
01:59.1,22/09/2024 11:01,58.386193,26.7264723,76.9379,0725
02:00.1,22/09/2024 11:02,58.3861992,26.7265225,76.68659,0749
02:01.1,22/09/2024 11:02,58.3862025,26.7265619,82.46218,0773
02:02.1,22/09/2024 11:02,58.3862048,26.7266033,83.37663,0797
02:03.1,22/09/2024 11:02,58.3862053,26.7266525,91.29228,0821
02:04.1,22/09/2024 11:02,58.3861975,26.7266984,115.55058,0845
02:05.1,22/09/2024 11:02,58.3861826,26.7267387,128.9477,0869
02:06.1,22/09/2024 11:02,58.386161,26.7267692,149.21532,0893
02:07.1,22/09/2024 11:02,58.386132,26.7267778,179.19576,0917
02:08.1,22/09/2024 11:02,58.3860957,26.7267712,187.68434,0941
02:09.1,22/09/2024 11:02,58.3860512,26.726761,186.54566,0965
02:10.1,22/09/2024 11:02,58.3860006,26.7267481,187.81348,0989
02:11.1,22/09/2024 11:02,58.3859471,26.7267342,187.91384,1023
02:12.1,22/09/2024 11:02,58.3858919,26.72672,187.58792,1047
02:13.1,22/09/2024 11:02,58.3858354,26.7267057,187.4797,1071
02:14.1,22/09/2024 11:02,58.3857784,26.726692,186.93792,1095
02:15.1,22/09/2024 11:02,58.3857216,26.7266796,186.32086,1119
02:16.1,22/09/2024 11:02,58.3856644,26.7266674,186.33112,1143
02:17.1,22/09/2024 11:02,58.3856067,26.7266525,188.18282,1167
02:18.1,22/09/2024 11:02,58.3855491,26.7266374,187.68424,1191
02:19.1,22/09/2024 11:02,58.3854916,26.7266234,187.19178,1215
02:20.1,22/09/2024 11:02,58.3854346,26.7266099,186.8435,1239
02:21.1,22/09/2024 11:02,58.3853792,26.7265968,187.10354,1263
02:22.1,22/09/2024 11:02,58.3853284,26.7265866,185.40056,1287
02:23.1,22/09/2024 11:02,58.3852815,26.7265735,189.5579,1311
02:24.1,22/09/2024 11:02,58.3852308,26.726561,186.48126,1335
02:25.1,22/09/2024 11:02,58.3851767,26.7265482,187.3158,1359
02:26.1,22/09/2024 11:02,58.3851214,26.7265323,189.0453,1383
02:27.1,22/09/2024 11:02,58.3850651,26.7265158,188.51688,1407
02:28.1,22/09/2024 11:02,58.3850089,26.7264988,188.39194,1431
02:29.1,22/09/2024 11:02,58.3849528,26.7264892,184.00752,1455
02:30.1,22/09/2024 11:02,58.3848962,26.7264851,181.1862,1479
02:31.1,22/09/2024 11:02,58.3848396,26.7264859,178.62506,1503
02:32.1,22/09/2024 11:02,58.3847831,26.7264888,177.94242,1527
